access,from,from_i,start_time,stop_time,to,to_i
304,S1,1,2019-06-21 21:03:58.151,2019-06-21 21:11:12.907,SCL,3
305,S1,1,2019-06-21 22:35:05.674,2019-06-21 22:46:43.696,SCL,3
306,S2,2,2019-06-21 22:35:06.268,2019-06-21 22:46:09.208,SCL,3
307,S2,2,2019-06-22 00:09:43.377,2019-06-22 00:19:29.869,SCL,3
308,S1,1,2019-06-22 00:13:23.926,2019-06-22 00:17:20.319,SCL,3
309,S1,1,2019-06-22 01:27:25.111,2019-06-22 01:37:48.328,CAL,5
310,S2,2,2019-06-22 01:28:39.452,2019-06-22 01:35:04.952,CAL,5
311,S2,2,2019-06-22 03:00:26.658,2019-06-22 03:12:06.177,CAL,5
312,S1,1,2019-06-22 03:01:06.527,2019-06-22 03:11:55.695,CAL,5
313,S2,2,2019-06-22 04:36:10.313,2019-06-22 04:42:49.028,CAL,5
314,S1,1,2019-06-22 07:02:35.840,2019-06-22 07:09:56.699,SAA,4
315,S2,2,2019-06-22 08:34:27.793,2019-06-22 08:45:39.613,SAA,4
316,S1,1,2019-06-22 08:34:43.932,2019-06-22 08:46:08.187,SAA,4
317,S2,2,2019-06-22 10:09:12.682,2019-06-22 10:18:02.333,SAA,4
318,S1,1,2019-06-22 10:09:58.775,2019-06-22 10:19:53.951,SCL,3
319,S2,2,2019-06-22 10:11:46.940,2019-06-22 10:16:37.041,SCL,3
320,S2,2,2019-06-22 11:42:50.584,2019-06-22 11:54:22.789,SCL,3
321,S1,1,2019-06-22 11:43:28.599,2019-06-22 11:54:16.262,SCL,3
322,S1,1,2019-06-22 12:06:13.580,2019-06-22 12:12:38.586,CAL,5
323,S2,2,2019-06-22 13:18:36.524,2019-06-22 13:25:09.342,SCL,3
324,S1,1,2019-06-22 13:36:52.324,2019-06-22 13:48:25.539,CAL,5
325,S2,2,2019-06-22 13:37:03.774,2019-06-22 13:47:44.957,CAL,5
326,S2,2,2019-06-22 15:11:09.196,2019-06-22 15:21:27.735,CAL,5
327,S1,1,2019-06-22 15:13:52.148,2019-06-22 15:20:13.098,CAL,5
